"province_code","department_code","department_name","department_poblacion"
58,35,"Confluencia",426804
58,112,"Zapala",40369
58,56,"Lácar",37756
58,91,"Pehuenches",35081
58,49,"Huiliches",17842
58,70,"Los Lagos",17647
58,42,"Chos Malal",17229
58,14,"Añelo",16622
58,7,"Aluminé",11718
58,105,"Picunches",8069
58,77,"Minas",7935
58,63,"Loncopué",7858
58,84,"Ñorquín",6031
58,98,"Picún Leufú",5282
58,28,"Collón Curá",4918
58,21,"Catán Lil",2896
62,42,"General Roca",370245
62,21,"Bariloche",163743
62,7,"Adolfo Alsina",65450
62,14,"Avellaneda",40349
62,77,"San Antonio",36787
62,91,"25 de Mayo",18917
62,63,"Pichi Mahuida",14441
62,70,"Pilcaniyeu",9356
62,84,"Valcheta",8556
62,28,"Conesa",8221
62,35,"El Cuy",6781
62,49,"9 de Julio",3334
62,56,"Ñorquincó",1430
66,28,"Capital",631058
66,56,"Grl. José de San Martín",184877
66,126,"Orán",162562
66,7,"Anta",68925
66,49,"General Güemes",55211
66,35,"Cerrillos",48658
66,147,"Rosario de Lerma",45862
66,112,"Metán",43714
66,133,"Rivadavia",35109
66,140,"Rosario de la Frontera",31393
66,42,"Chicoana",24541
66,21,"Cafayate",19162
66,77,"La Caldera",10551
66,161,"Santa Victoria",9849
66,98,"La Viña",8088
66,14,"Cachi",7672
66,154,"San Carlos",7087
66,105,"Los Andes",6821
66,84,"La Candelaria",6452
66,119,"Molinos",5958
66,70,"Iruya",5786
66,63,"Guachipas",3288
66,91,"La Poma",1773
70,77,"Rawson",126870
70,28,"Capital",107401
70,42,"Chimbas",106627
70,84,"Rivadavia",92939
70,70,"Pocito",70638
70,98,"Santa Lucía",55304
70,35,"Caucete",45938
70,7,"Albardón",29269
70,105,"Sarmiento",26910
70,56,"Jáchal",23586
70,126,"25 de Mayo",20285
70,91,"San Martín",12830
70,49,"Iglesia",12499
70,63,"9 de Julio",11761
70,21,"Calingasta",9503
70,14,"Angaco",9186
70,119,"Valle Fértil",8001
70,133,"Zonda",6072
70,112,"Ullúm",5598
74,56,"La Capital",242908
74,35,"General Pedernera",145471
74,49,"Junín",38266
74,28,"Chacabuco",23798
74,7,"Ayacucho",22030
74,21,"Coronel Pringles",14315
74,42,"Gobernador Dupuy",12869
74,63,"Libertador General San Martín",4390
74,14,"Belgrano",4281
78,14,"Deseado",148968
78,21,"Güer Aike",139354
78,28,"Lago Argentino",30540
78,7,"Corpen Aike",14869
78,42,"Magallanes",12395
78,35,"Lago Buenos Aires",11767
78,49,"Río Chico",7805
82,84,"Rosario",1291010
82,63,"La Capital",583368
82,42,"General López",211950
82,21,"Castellanos",206032
82,49,"General Obligado",199488
82,119,"San Lorenzo",184609
82,70,"Las Colonias",122547
82,28,"Constitución",96574
82,105,"San Jerónimo",89985
82,14,"Caseros",89297
82,91,"San Cristóbal",77228
82,56,"Iriondo",72062
82,126,"San Martín",70819
82,133,"Vera",54902
82,7,"Belgrano",51493
82,112,"San Justo",44041
82,98,"San Javier",34075
82,77,"9 de Julio",33574
82,35,"Garay",23364
86,49,"Capital",298076
86,35,"Banda",163370
86,147,"Río Hondo",61166
86,161,"Robles",50933
86,77,"General Taboada",40522
86,119,"Moreno",38117
86,56,"Copo",38016
86,63,"Choya",36486
86,105,"Loreto",23815
86,28,"Avellaneda",22952
86,133,"Pellegrini",22156
86,14,"Alberdi",19755
86,98,"Juan F. Ibarra",19753
86,70,"Figueroa",18529
86,91,"Jiménez",16144
86,126,"Ojo de Agua",15089
86,21,"Atamisqui",12619
86,168,"Salavina",12123
86,42,"Belgrano",11144
86,175,"San Martín",10917
86,140,"Quebrachos",10136
86,7,"Aguirre",8500
86,189,"Silípica",8000
86,84,"Guasayán",7967
86,154,"Rivadavia",5230
86,182,"Sarmiento",4772
86,112,"Mitre",2026
94,7,"Río Grande",95889
94,14,"Ushuaia",77260
90,84,"Capital",605767
90,14,"Cruz Alta",219826
90,105,"Tafí Viejo",150121
90,119,"Yerba Buena",96639
90,21,"Chicligasta",94466
90,63,"Lules",89673
90,70,"Monteros",75346
90,77,"Río Chico",66531
90,56,"Leales",62958
90,7,"Burruyacú",45225
90,28,"Famaillá",42167
90,42,"Juan Bautista Alberdi",35297
90,91,"Simoca",34366
90,49,"La Cocha",22222
90,112,"Trancas",21369
90,98,"Tafí del Valle",17502
90,35,"Graneros",15181
