"prov_name","prov_code","name","codigo","region"
"Buenos Aires",6,"Coronel Pringles",196,"Buenos Aires no AMBA"
"Buenos Aires",6,"Coronel Suárez",203,"Buenos Aires no AMBA"
"Buenos Aires",6,"Chacabuco",210,"Buenos Aires no AMBA"
"Buenos Aires",6,"Chascomús",217,"Buenos Aires no AMBA"
"Buenos Aires",6,"Chivilcoy",224,"Buenos Aires no AMBA"
"Buenos Aires",6,"Daireaux",231,"Buenos Aires no AMBA"
"Buenos Aires",6,"Dolores",238,"Buenos Aires no AMBA"
"Buenos Aires",6,"Ensenada",245,"AMBA"
"Buenos Aires",6,"Escobar",252,"AMBA"
"Buenos Aires",6,"Esteban Echeverría",260,"AMBA"
"Buenos Aires",6,"Exaltación de la Cruz",266,"AMBA"
"Buenos Aires",6,"Ezeiza",270,"AMBA"
"Buenos Aires",6,"Florencio Varela",274,"AMBA"
"Buenos Aires",6,"Florentino Ameghino",277,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Alvarado",280,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Alvear",287,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Arenales",294,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Belgrano",301,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Guido",308,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Juan Madariaga",315,"Buenos Aires no AMBA"
"Buenos Aires",6,"General La Madrid",322,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Las Heras",329,"AMBA"
"Buenos Aires",6,"General Lavalle",336,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Paz",343,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Pinto",351,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Pueyrredón",357,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Rodríguez",364,"AMBA"
"Buenos Aires",6,"General San Martín",371,"AMBA"
"Buenos Aires",6,"General Viamonte",385,"Buenos Aires no AMBA"
"Buenos Aires",6,"General Villegas",392,"Buenos Aires no AMBA"
"Buenos Aires",6,"Guaminí",399,"Buenos Aires no AMBA"
"Buenos Aires",6,"Hipólito Yrigoyen",406,"Buenos Aires no AMBA"
"Buenos Aires",6,"Hurlingham",408,"AMBA"
"Buenos Aires",6,"Ituzaingó",410,"AMBA"
"Buenos Aires",6,"José C. Paz",412,"AMBA"
"Buenos Aires",6,"Junín",413,"Buenos Aires no AMBA"
"Buenos Aires",6,"La Costa",420,"Buenos Aires no AMBA"
"Buenos Aires",6,"La Matanza",427,"AMBA"
"Buenos Aires",6,"Lanús",434,"AMBA"
"Buenos Aires",6,"La Plata",441,"AMBA"
"Buenos Aires",6,"Laprida",448,"Buenos Aires no AMBA"
"Buenos Aires",6,"Las Flores",455,"Buenos Aires no AMBA"
"Buenos Aires",6,"Leandro N. Alem",462,"Buenos Aires no AMBA"
"Buenos Aires",6,"Lezama",466,"Buenos Aires no AMBA"
"Buenos Aires",6,"Lincoln",469,"Buenos Aires no AMBA"
"Buenos Aires",6,"Lobería",476,"Buenos Aires no AMBA"
"Buenos Aires",6,"Lobos",483,"Buenos Aires no AMBA"
"Buenos Aires",6,"Lomas de Zamora",490,"AMBA"
"Buenos Aires",6,"Luján",497,"AMBA"
"Buenos Aires",6,"Magdalena",505,"Buenos Aires no AMBA"
"Buenos Aires",6,"Maipú",511,"Buenos Aires no AMBA"
"Buenos Aires",6,"Malvinas Argentinas",515,"AMBA"
"Buenos Aires",6,"Mar Chiquita",518,"Buenos Aires no AMBA"
"Buenos Aires",6,"Marcos Paz",525,"AMBA"
"Buenos Aires",6,"Mercedes",532,"Buenos Aires no AMBA"
"Buenos Aires",6,"Merlo",539,"AMBA"
"Buenos Aires",6,"Monte",547,"Buenos Aires no AMBA"
"Buenos Aires",6,"Monte Hermoso",553,"Buenos Aires no AMBA"
"Buenos Aires",6,"Moreno",560,"AMBA"
"Buenos Aires",6,"Morón",568,"AMBA"
"Buenos Aires",6,"Navarro",574,"Buenos Aires no AMBA"
"Buenos Aires",6,"Necochea",581,"Buenos Aires no AMBA"
"Buenos Aires",6,"9 de Julio",588,"Buenos Aires no AMBA"
"Buenos Aires",6,"Olavarría",595,"Buenos Aires no AMBA"
"Buenos Aires",6,"Patagones",602,"Buenos Aires no AMBA"
"Buenos Aires",6,"Pehuajó",609,"Buenos Aires no AMBA"
"Buenos Aires",6,"Pellegrini",616,"Buenos Aires no AMBA"
"Buenos Aires",6,"Pergamino",623,"Buenos Aires no AMBA"
"Buenos Aires",6,"Pila",630,"Buenos Aires no AMBA"
"Buenos Aires",6,"Pilar",638,"AMBA"
"Buenos Aires",6,"Pinamar",644,"Buenos Aires no AMBA"
"Buenos Aires",6,"Presidente Perón",648,"AMBA"
"Buenos Aires",6,"Puán",651,"Buenos Aires no AMBA"
"Buenos Aires",6,"Punta Indio",655,"Buenos Aires no AMBA"
"Buenos Aires",6,"Quilmes",658,"AMBA"
"Buenos Aires",6,"Ramallo",665,"Buenos Aires no AMBA"
"Buenos Aires",6,"Rauch",672,"Buenos Aires no AMBA"
"Buenos Aires",6,"Rivadavia",679,"Buenos Aires no AMBA"
"Buenos Aires",6,"Rojas",686,"Buenos Aires no AMBA"
"Buenos Aires",6,"Roque Pérez",693,"Buenos Aires no AMBA"
"Buenos Aires",6,"Saavedra",700,"Buenos Aires no AMBA"
"Buenos Aires",6,"Saladillo",707,"Buenos Aires no AMBA"
"Buenos Aires",6,"Salto",714,"Buenos Aires no AMBA"
"Buenos Aires",6,"Salliqueló",721,"Buenos Aires no AMBA"
"Buenos Aires",6,"San Andrés de Giles",728,"Buenos Aires no AMBA"
"Buenos Aires",6,"San Antonio de Areco",735,"Buenos Aires no AMBA"
"Buenos Aires",6,"San Cayetano",742,"Buenos Aires no AMBA"
"Buenos Aires",6,"San Fernando",749,"AMBA"
"Buenos Aires",6,"San Isidro",756,"AMBA"
"Buenos Aires",6,"San Miguel",760,"AMBA"
"Buenos Aires",6,"San Nicolás",763,"Buenos Aires no AMBA"
"Buenos Aires",6,"San Pedro",770,"Buenos Aires no AMBA"
"Buenos Aires",6,"San Vicente",778,"AMBA"
"Buenos Aires",6,"Suipacha",784,"Buenos Aires no AMBA"
"Buenos Aires",6,"Tandil",791,"Buenos Aires no AMBA"
"Buenos Aires",6,"Tapalqué",798,"Buenos Aires no AMBA"
"Buenos Aires",6,"Tigre",805,"AMBA"
"Buenos Aires",6,"Tordillo",812,"Buenos Aires no AMBA"
"Buenos Aires",6,"Tornquist",819,"Buenos Aires no AMBA"
"Buenos Aires",6,"Trenque Lauquen",826,"Buenos Aires no AMBA"
"Buenos Aires",6,"Tres Arroyos",833,"Buenos Aires no AMBA"
"Buenos Aires",6,"Tres de Febrero",840,"AMBA"
"Buenos Aires",6,"Tres Lomas",847,"Buenos Aires no AMBA"
"Buenos Aires",6,"25 de Mayo",854,"Buenos Aires no AMBA"
"Buenos Aires",6,"Vicente López",861,"AMBA"
"Buenos Aires",6,"Villa Gesell",868,"Buenos Aires no AMBA"
"Buenos Aires",6,"Villarino",875,"Buenos Aires no AMBA"
"Buenos Aires",6,"Zárate",882,"AMBA"
"Catamarca",10,"Sin especificar",0,"Norte Grande"
"Catamarca",10,"Ambato",7,"Norte Grande"
"Catamarca",10,"Ancasti",14,"Norte Grande"
"Catamarca",10,"Andalgalá",21,"Norte Grande"
"Catamarca",10,"Antofagasta de la Sierra",28,"Norte Grande"
"Catamarca",10,"Belén",35,"Norte Grande"
"Catamarca",10,"Capayán",42,"Norte Grande"
"Catamarca",10,"Capital",49,"Norte Grande"
"Catamarca",10,"El Alto",56,"Norte Grande"
"Catamarca",10,"Fray Mamerto Esquiú",63,"Norte Grande"
"Catamarca",10,"La Paz",70,"Norte Grande"
"Catamarca",10,"Paclín",77,"Norte Grande"
"Catamarca",10,"Pomán",84,"Norte Grande"
"Catamarca",10,"Santa María",91,"Norte Grande"
"Catamarca",10,"Santa Rosa",98,"Norte Grande"
"Catamarca",10,"Tinogasta",105,"Norte Grande"
"Catamarca",10,"Valle Viejo",112,"Norte Grande"
"Córdoba",14,"Sin especificar",0,"Centro"
"Córdoba",14,"Calamuchita",7,"Centro"
"Córdoba",14,"Capital",14,"Centro"
"Córdoba",14,"Colón",21,"Centro"
"Córdoba",14,"Cruz del Eje",28,"Centro"
"Córdoba",14,"General Roca",35,"Centro"
"Córdoba",14,"General San Martín",42,"Centro"
"Córdoba",14,"Ischilín",49,"Centro"
"Córdoba",14,"Juárez Celman",56,"Centro"
"Córdoba",14,"Marcos Juárez",63,"Centro"
"Córdoba",14,"Minas",70,"Centro"
"Córdoba",14,"Pocho",77,"Centro"
"Córdoba",14,"Presidente Roque Sáenz Peña",84,"Centro"
"Córdoba",14,"Punilla",91,"Centro"
"Córdoba",14,"Río Cuarto",98,"Centro"
"Córdoba",14,"Río Primero",105,"Centro"
"Córdoba",14,"Río Seco",112,"Centro"
"Córdoba",14,"Río Segundo",119,"Centro"
"Córdoba",14,"San Alberto",126,"Centro"
"Córdoba",14,"San Javier",133,"Centro"
"Córdoba",14,"San Justo",140,"Centro"
"Córdoba",14,"Santa María",147,"Centro"
"Córdoba",14,"Sobremonte",154,"Centro"
"Córdoba",14,"Tercero Arriba",161,"Centro"
"Córdoba",14,"Totoral",168,"Centro"
"Córdoba",14,"Tulumba",175,"Centro"
"Córdoba",14,"Unión",182,"Centro"
"Corrientes",18,"Sin especificar",0,"Norte Grande"
"Corrientes",18,"Bella Vista",7,"Norte Grande"
"Corrientes",18,"Berón de Astrada",14,"Norte Grande"
"Corrientes",18,"Capital",21,"Norte Grande"
"Corrientes",18,"Concepción",28,"Norte Grande"
"Corrientes",18,"Curuzú Cuatiá",35,"Norte Grande"
"Corrientes",18,"Empedrado",42,"Norte Grande"
"Corrientes",18,"Esquina",49,"Norte Grande"
"Corrientes",18,"General Alvear",56,"Norte Grande"
"Corrientes",18,"General Paz",63,"Norte Grande"
"Corrientes",18,"Goya",70,"Norte Grande"
"Corrientes",18,"Itatí",77,"Norte Grande"
"Corrientes",18,"Ituzaingó",84,"Norte Grande"
"Corrientes",18,"Lavalle",91,"Norte Grande"
"Corrientes",18,"Mburucuyá",98,"Norte Grande"
"Corrientes",18,"Mercedes",105,"Norte Grande"
"Corrientes",18,"Monte Caseros",112,"Norte Grande"
"Corrientes",18,"Paso de los Libres",119,"Norte Grande"
"Corrientes",18,"Saladas",126,"Norte Grande"
"Corrientes",18,"San Cosme",133,"Norte Grande"
"Corrientes",18,"San Luis del Palmar",140,"Norte Grande"
"Corrientes",18,"San Martín",147,"Norte Grande"
"Corrientes",18,"San Miguel",154,"Norte Grande"
"Corrientes",18,"San Roque",161,"Norte Grande"
"Corrientes",18,"Santo Tomé",168,"Norte Grande"
"Corrientes",18,"Sauce",175,"Norte Grande"
"Chaco",22,"Sin especificar",0,"Norte Grande"
"Chaco",22,"Almirante Brown",7,"Norte Grande"
"Chaco",22,"Bermejo",14,"Norte Grande"
"Chaco",22,"Comandante Fernández",21,"Norte Grande"
"Chaco",22,"Chacabuco",28,"Norte Grande"
"Chaco",22,"12 de Octubre",36,"Norte Grande"
"Chaco",22,"2 de Abril",39,"Norte Grande"
"Chaco",22,"Fray Justo Santa María de Oro",43,"Norte Grande"
"Chaco",22,"General Belgrano",49,"Norte Grande"
"Chaco",22,"General Donovan",56,"Norte Grande"
"Chaco",22,"General Güemes",63,"Norte Grande"
"Chaco",22,"Independencia",70,"Norte Grande"
"Chaco",22,"Libertad",77,"Norte Grande"
"Chaco",22,"Libertador General San Martín",84,"Norte Grande"
"Chaco",22,"Maipú",91,"Norte Grande"
"Chaco",22,"Mayor Luis J. Fontana",98,"Norte Grande"
"Chaco",22,"9 de Julio",105,"Norte Grande"
"Chaco",22,"O' Higgins",112,"Norte Grande"
"Chaco",22,"Presidencia de la Plaza",119,"Norte Grande"
"Chaco",22,"1º de Mayo",126,"Norte Grande"
"Chaco",22,"Quitilipi",133,"Norte Grande"
"Chaco",22,"San Fernando",140,"Norte Grande"
"Chaco",22,"San Lorenzo",147,"Norte Grande"
"Chaco",22,"Sargento Cabral",154,"Norte Grande"
"Chaco",22,"Tapenagá",161,"Norte Grande"
"Chaco",22,"25 de Mayo",168,"Norte Grande"
"Chubut",26,"Sin especificar",0,"Patagonia"
"Chubut",26,"Biedma",7,"Patagonia"
"Chubut",26,"Cushamen",14,"Patagonia"
"Chubut",26,"Escalante",21,"Patagonia"
"Chubut",26,"Florentino Ameghino",28,"Patagonia"
"Chubut",26,"Futaleufú",35,"Patagonia"
"Chubut",26,"Gaiman",42,"Patagonia"
"Chubut",26,"Gastre",49,"Patagonia"
"Chubut",26,"Languiñeo",56,"Patagonia"
"Chubut",26,"Mártires",63,"Patagonia"
"Chubut",26,"Paso de Indios",70,"Patagonia"
"Chubut",26,"Rawson",77,"Patagonia"
"Chubut",26,"Río Senguer",84,"Patagonia"
"Chubut",26,"Sarmiento",91,"Patagonia"
"Chubut",26,"Tehuelches",98,"Patagonia"
"Chubut",26,"Telsen",105,"Patagonia"
"Entre Ríos",30,"Sin especificar",0,"Centro"
"Entre Ríos",30,"Colón",8,"Centro"
"Entre Ríos",30,"Concordia",15,"Centro"
"Entre Ríos",30,"Diamante",21,"Centro"
"Entre Ríos",30,"Federación",28,"Centro"
"Entre Ríos",30,"Federal",35,"Centro"
"Entre Ríos",30,"Feliciano",42,"Centro"
"Entre Ríos",30,"Gualeguay",49,"Centro"
"Entre Ríos",30,"Gualeguaychú",56,"Centro"
"Entre Ríos",30,"Islas del Ibicuy",63,"Centro"
"Entre Ríos",30,"La Paz",70,"Centro"
"Entre Ríos",30,"Nogoyá",77,"Centro"
"Entre Ríos",30,"Paraná",84,"Centro"
"Entre Ríos",30,"San Salvador",88,"Centro"
"Entre Ríos",30,"Tala",91,"Centro"
"Entre Ríos",30,"Uruguay",98,"Centro"
"Entre Ríos",30,"Victoria",105,"Centro"
"Entre Ríos",30,"Villaguay",113,"Centro"
"Formosa",34,"Sin especificar",0,"Norte Grande"
"Formosa",34,"Bermejo",7,"Norte Grande"
"Formosa",34,"Formosa",14,"Norte Grande"
"Formosa",34,"Laishi",21,"Norte Grande"
"Formosa",34,"Matacos",28,"Norte Grande"
"Formosa",34,"Patiño",35,"Norte Grande"
"Formosa",34,"Pilagás",42,"Norte Grande"
"Formosa",34,"Pilcomayo",49,"Norte Grande"
"Formosa",34,"Pirané",56,"Norte Grande"
"Formosa",34,"Ramón Lista",63,"Norte Grande"
"Jujuy",38,"Sin especificar",0,"Norte Grande"
"Jujuy",38,"Cochinoca",7,"Norte Grande"
"Jujuy",38,"El Carmen",14,"Norte Grande"
"Jujuy",38,"Dr. Manuel Belgrano",21,"Norte Grande"
"Jujuy",38,"Humahuaca",28,"Norte Grande"
"Jujuy",38,"Ledesma",35,"Norte Grande"
"Jujuy",38,"Palpalá",42,"Norte Grande"
"Jujuy",38,"Rinconada",49,"Norte Grande"
"Jujuy",38,"San Antonio",56,"Norte Grande"
"Jujuy",38,"San Pedro",63,"Norte Grande"
"Jujuy",38,"Santa Bárbara",70,"Norte Grande"
"Jujuy",38,"Santa Catalina",77,"Norte Grande"
"Jujuy",38,"Susques",84,"Norte Grande"
"Jujuy",38,"Tilcara",94,"Norte Grande"
"Jujuy",38,"Tumbaya",98,"Norte Grande"
"Jujuy",38,"Valle Grande",105,"Norte Grande"
"Jujuy",38,"Yavi",112,"Norte Grande"
"La Pampa",42,"Sin especificar",0,"Patagonia"
"La Pampa",42,"Atreucó",7,"Patagonia"
"La Pampa",42,"Caleu Caleu",14,"Patagonia"
"La Pampa",42,"Capital",21,"Patagonia"
"La Pampa",42,"Catriló",28,"Patagonia"
"La Pampa",42,"Conhelo",35,"Patagonia"
"La Pampa",42,"Curacó",42,"Patagonia"
"La Pampa",42,"Chalileo",49,"Patagonia"
"La Pampa",42,"Chapaleufú",56,"Patagonia"
"La Pampa",42,"Chicalcó",63,"Patagonia"
"La Pampa",42,"Guatraché",70,"Patagonia"
"La Pampa",42,"Hucal",77,"Patagonia"
"La Pampa",42,"Lihuel Calel",84,"Patagonia"
"La Pampa",42,"Limay Mahuida",91,"Patagonia"
"La Pampa",42,"Loventué",98,"Patagonia"
"La Pampa",42,"Maracó",105,"Patagonia"
"La Pampa",42,"Puelén",112,"Patagonia"
"La Pampa",42,"Quemú Quemú",119,"Patagonia"
"La Pampa",42,"Rancul",126,"Patagonia"
"La Pampa",42,"Realicó",133,"Patagonia"
"La Pampa",42,"Toay",140,"Patagonia"
"La Pampa",42,"Trenel",147,"Patagonia"
"La Pampa",42,"Utracán",154,"Patagonia"
"La Rioja",46,"Sin especificar",0,"Norte Grande"
"La Rioja",46,"Arauco",7,"Norte Grande"
"La Rioja",46,"Capital",14,"Norte Grande"
"La Rioja",46,"Castro Barros",21,"Norte Grande"
"La Rioja",46,"Coronel Felipe Varela",28,"Norte Grande"
"La Rioja",46,"Chamical",35,"Norte Grande"
"La Rioja",46,"Chilecito",42,"Norte Grande"
"La Rioja",46,"Famatina",49,"Norte Grande"
"La Rioja",46,"General Angel V. Peñaloza",56,"Norte Grande"
"La Rioja",46,"General Belgrano",63,"Norte Grande"
"La Rioja",46,"General Juan F. Quiroga",70,"Norte Grande"
"La Rioja",46,"General Lamadrid",77,"Norte Grande"
"La Rioja",46,"General Ocampo",84,"Norte Grande"
"La Rioja",46,"General San Martín",91,"Norte Grande"
"La Rioja",46,"Vinchina",98,"Norte Grande"
"La Rioja",46,"Independencia",105,"Norte Grande"
"La Rioja",46,"Rosario Vera Peñaloza",112,"Norte Grande"
"La Rioja",46,"San Blas de los Sauces",119,"Norte Grande"
"La Rioja",46,"Sanagasta",126,"Norte Grande"
"Mendoza",50,"Sin especificar",0,"Cuyo"
"Mendoza",50,"Capital",7,"Cuyo"
"Mendoza",50,"General Alvear",14,"Cuyo"
"Mendoza",50,"Godoy Cruz",21,"Cuyo"
"Mendoza",50,"Guaymallén",28,"Cuyo"
"Mendoza",50,"Junín",35,"Cuyo"
"Mendoza",50,"La Paz",42,"Cuyo"
"Mendoza",50,"Las Heras",49,"Cuyo"
"Mendoza",50,"Lavalle",56,"Cuyo"
"Mendoza",50,"Luján de Cuyo",63,"Cuyo"
"Mendoza",50,"Maipú",70,"Cuyo"
"Mendoza",50,"Malargüe",77,"Cuyo"
"Mendoza",50,"Rivadavia",84,"Cuyo"
"Mendoza",50,"San Carlos",91,"Cuyo"
"Mendoza",50,"San Martín",98,"Cuyo"
"Mendoza",50,"San Rafael",105,"Cuyo"
"Mendoza",50,"Santa Rosa",112,"Cuyo"
"Mendoza",50,"Tunuyán",119,"Cuyo"
"Mendoza",50,"Tupungato",126,"Cuyo"
"Misiones",54,"Sin especificar",0,"Norte Grande"
"Misiones",54,"Apóstoles",7,"Norte Grande"
"Misiones",54,"Cainguás",14,"Norte Grande"
"Misiones",54,"Candelaria",21,"Norte Grande"
"Misiones",54,"Capital",28,"Norte Grande"
"Misiones",54,"Concepción",35,"Norte Grande"
"Misiones",54,"Eldorado",42,"Norte Grande"
"Misiones",54,"General Manuel Belgrano",49,"Norte Grande"
"Misiones",54,"Guaraní",56,"Norte Grande"
"Misiones",54,"Iguazú",63,"Norte Grande"
"Misiones",54,"Leandro N. Alem",70,"Norte Grande"
"Misiones",54,"Libertador Grl. San Martín",77,"Norte Grande"
"Misiones",54,"Montecarlo",84,"Norte Grande"
"Misiones",54,"Oberá",91,"Norte Grande"
"Misiones",54,"San Ignacio",98,"Norte Grande"
"Misiones",54,"San Javier",105,"Norte Grande"
"Misiones",54,"San Pedro",112,"Norte Grande"
"Misiones",54,"25 de Mayo",119,"Norte Grande"
"Neuquén",58,"Sin especificar",0,"Patagonia"
"Neuquén",58,"Aluminé",7,"Patagonia"
"Neuquén",58,"Añelo",14,"Patagonia"
"Neuquén",58,"Catán Lil",21,"Patagonia"
"Neuquén",58,"Collón Curá",28,"Patagonia"
"Neuquén",58,"Confluencia",35,"Patagonia"
"Neuquén",58,"Chos Malal",42,"Patagonia"
"Neuquén",58,"Huiliches",49,"Patagonia"
"Neuquén",58,"Lácar",56,"Patagonia"
"Neuquén",58,"Loncopué",63,"Patagonia"
"Neuquén",58,"Los Lagos",70,"Patagonia"
"Neuquén",58,"Minas",77,"Patagonia"
"Neuquén",58,"Ñorquín",84,"Patagonia"
"Neuquén",58,"Pehuenches",91,"Patagonia"
"Neuquén",58,"Picún Leufú",98,"Patagonia"
"Neuquén",58,"Picunches",105,"Patagonia"
"Neuquén",58,"Zapala",112,"Patagonia"
"Río Negro",62,"Sin especificar",0,"Patagonia"
"Río Negro",62,"Adolfo Alsina",7,"Patagonia"
"Río Negro",62,"Avellaneda",14,"Patagonia"
"Río Negro",62,"Bariloche",21,"Patagonia"
"Río Negro",62,"Conesa",28,"Patagonia"
"Río Negro",62,"El Cuy",35,"Patagonia"
"Río Negro",62,"General Roca",42,"Patagonia"
"Río Negro",62,"9 de Julio",49,"Patagonia"
"Río Negro",62,"Ñorquincó",56,"Patagonia"
"Río Negro",62,"Pichi Mahuida",63,"Patagonia"
"Río Negro",62,"Pilcaniyeu",70,"Patagonia"
"Río Negro",62,"San Antonio",77,"Patagonia"
"Río Negro",62,"Valcheta",84,"Patagonia"
"Río Negro",62,"25 de Mayo",91,"Patagonia"
"Salta",66,"Sin especificar",0,"Norte Grande"
"Salta",66,"Anta",7,"Norte Grande"
"Salta",66,"Cachi",14,"Norte Grande"
"Salta",66,"Cafayate",21,"Norte Grande"
"Salta",66,"Capital",28,"Norte Grande"
"Salta",66,"Cerrillos",35,"Norte Grande"
"Salta",66,"Chicoana",42,"Norte Grande"
"Salta",66,"General Güemes",49,"Norte Grande"
"Salta",66,"Grl. José de San Martín",56,"Norte Grande"
"Salta",66,"Guachipas",63,"Norte Grande"
"Salta",66,"Iruya",70,"Norte Grande"
"Salta",66,"La Caldera",77,"Norte Grande"
"Salta",66,"La Candelaria",84,"Norte Grande"
"Salta",66,"La Poma",91,"Norte Grande"
"Salta",66,"La Viña",98,"Norte Grande"
"Salta",66,"Los Andes",105,"Norte Grande"
"Salta",66,"Metán",112,"Norte Grande"
"Salta",66,"Molinos",119,"Norte Grande"
"Salta",66,"Orán",126,"Norte Grande"
"Salta",66,"Rivadavia",133,"Norte Grande"
"Salta",66,"Rosario de la Frontera",140,"Norte Grande"
"Salta",66,"Rosario de Lerma",147,"Norte Grande"
"Salta",66,"San Carlos",154,"Norte Grande"
"Salta",66,"Santa Victoria",161,"Norte Grande"
"San Juan",70,"Sin especificar",0,"Cuyo"
"San Juan",70,"Albardón",7,"Cuyo"
"San Juan",70,"Angaco",14,"Cuyo"
"San Juan",70,"Calingasta",21,"Cuyo"
"San Juan",70,"Capital",28,"Cuyo"
"San Juan",70,"Caucete",35,"Cuyo"
"San Juan",70,"Chimbas",42,"Cuyo"
"San Juan",70,"Iglesia",49,"Cuyo"
"San Juan",70,"Jáchal",56,"Cuyo"
"San Juan",70,"9 de Julio",63,"Cuyo"
"San Juan",70,"Pocito",70,"Cuyo"
"San Juan",70,"Rawson",77,"Cuyo"
"San Juan",70,"Rivadavia",84,"Cuyo"
"San Juan",70,"San Martín",91,"Cuyo"
"San Juan",70,"Santa Lucía",98,"Cuyo"
"San Juan",70,"Sarmiento",105,"Cuyo"
"San Juan",70,"Ullúm",112,"Cuyo"
"San Juan",70,"Valle Fértil",119,"Cuyo"
"San Juan",70,"25 de Mayo",126,"Cuyo"
"San Juan",70,"Zonda",133,"Cuyo"
"San Luis",74,"Sin especificar",0,"Cuyo"
"San Luis",74,"Ayacucho",7,"Cuyo"
"San Luis",74,"Belgrano",14,"Cuyo"
"San Luis",74,"Coronel Pringles",21,"Cuyo"
"San Luis",74,"Chacabuco",28,"Cuyo"
"San Luis",74,"General Pedernera",35,"Cuyo"
"San Luis",74,"Gobernador Dupuy",42,"Cuyo"
"San Luis",74,"Junín",49,"Cuyo"
"San Luis",74,"La Capital",56,"Cuyo"
"San Luis",74,"Libertador General San Martín",63,"Cuyo"
"Santa Cruz",78,"Sin especificar",0,"Patagonia"
"Santa Cruz",78,"Corpen Aike",7,"Patagonia"
"Santa Cruz",78,"Deseado",14,"Patagonia"
"Santa Cruz",78,"Güer Aike",21,"Patagonia"
"Santa Cruz",78,"Lago Argentino",28,"Patagonia"
"Santa Cruz",78,"Lago Buenos Aires",35,"Patagonia"
"Santa Cruz",78,"Magallanes",42,"Patagonia"
"Santa Cruz",78,"Río Chico",49,"Patagonia"
"Santa Fe",82,"Sin especificar",0,"Centro"
